location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
YMCA - Marion County,Ocala,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,5,µg/m³,29.170799,-82.1008,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Florida Dept. of Environmental Protection""}]"
Winter Park,Orlando-Kissimmee,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,7.2,µg/m³,28.5997,-81.3628,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Florida Dept. of Environmental Protection""}]"
Azalea,Tampa-St. Petersburg-Clearwater,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,7.5,µg/m³,27.7858,-82.74,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Florida Dept. of Environmental Protection""}]"
John A. Chesnut Sr.,Tampa-St. Petersburg-Clearwater,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,7.9,µg/m³,28.0903,-82.7008,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Florida Dept. of Environmental Protection""}]"
Fl. Baptist Children,Lakeland,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,10.2,µg/m³,28.0294,-81.9719,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Florida Dept. of Environmental Protection""}]"
Blind Services; 1185,Deltona-Daytona Beach-Ormond Beach,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,7.4,µg/m³,29.2069,-81.0531,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Florida Dept. of Environmental Protection""}]"
Macon Forestry,Macon,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,4.2,µg/m³,32.8031,-83.5447,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Georgia Department of Natural Resources""}]"
Confederate Ave,Atlanta-Sandy Springs-Marietta,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,12.5,µg/m³,33.7206,-84.3578,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Georgia Department of Natural Resources""}]"
Augusta,Augusta-Richmond County,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,19.6,µg/m³,33.4333,-82.0219,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Georgia Department of Natural Resources""}]"
Columbus Airport,Columbus,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,8.3,µg/m³,32.5214,-84.9436,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Georgia Department of Natural Resources""}]"
Honolulu,Honolulu,US,2017-02-27T13:00:00.000Z,2017-02-27T03:00:00-10:00,pm25,1,µg/m³,21.310301,-157.858093,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
SAND ISLAND 2 - ANUE,Honolulu,US,2017-02-27T13:00:00.000Z,2017-02-27T03:00:00-10:00,pm25,7,µg/m³,21.3039,-157.8711,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Pocatello Garrett an,Pocatello,US,2017-02-27T13:00:00.000Z,2017-02-27T06:00:00-07:00,pm25,1.5,µg/m³,42.876701,-112.460297,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
ALSIP,Chicago-Naperville-Joliet,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,8.7,µg/m³,41.6708,-87.7325,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
NORTHBRK,Chicago-Naperville-Joliet,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,9.5,µg/m³,42.1406,-87.7994,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
Houston Deer Park C3,Houston-Sugar Land-Baytown,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,10,µg/m³,29.670025,-95.128508,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Mission C43,McAllen-Edinburg-Mission,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,7.8,µg/m³,26.226226,-98.29107,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
LWATTOWR,Thomasville-Lexington,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,10.8,µg/m³,35.8142,-80.2633,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
Piney Run,GARRETT,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,4,µg/m³,39.705799,-79.011902,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Maryland Department of the Environment""}]"
Heritage Middle Scho,San Antonio,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,14.4,µg/m³,29.35291,-98.332838,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Riverside,Chattanooga,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,9.2,µg/m³,35.0508,-85.2931,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Chattanooga-Hamilton County Air Pollution Control Bureau""}]"
BDED,Asheville,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,6,µg/m³,35.6075,-82.5833,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
Brainerd,Brainerd,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,7,µg/m³,46.3944,-94.1433,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Minnesota Pollution Control Agency""}]"
Lebanon,Lebanon,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,4.6,µg/m³,43.629605,-72.309499,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Hampshire Dept. of Environmental Services""}]"
Twisp-Glover St,CHELAN,US,2017-02-27T13:00:00.000Z,2017-02-27T05:00:00-08:00,pm25,11.5,µg/m³,48.3645,-120.1211,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Ellensburg-Ruby St,Ellensburg,US,2017-02-27T13:00:00.000Z,2017-02-27T05:00:00-08:00,pm25,14,µg/m³,46.9936,-120.545,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
El Dorado,El Dorado,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,9,µg/m³,33.215,-92.6689,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Arkansas Department of Environmental Quality""}]"
Amarillo Texas A&M C,Amarillo,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,3.2,µg/m³,35.2006,-101.9083,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Detroit Lakes,BECKER,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,5,µg/m³,46.8511,-95.8467,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Minnesota Pollution Control Agency""}]"
MICMAC,AROOSTOOK,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,4.9,µg/m³,46.6964,-68.033096,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Aroostook Band of Micmacs""}]"
HU-Beltsville,Washington-Arlington-Alexandria,US,2017-02-27T13:00:00.000Z,2017-02-27T08:00:00-05:00,pm25,16,µg/m³,39.055302,-76.878304,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Maryland Department of the Environment""}]"
Lancaster,Coeur d'Alene,US,2017-02-27T13:00:00.000Z,2017-02-27T05:00:00-08:00,pm25,5,µg/m³,47.7889,-116.8044,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Marshall,Marshall,US,2017-02-27T13:00:00.000Z,2017-02-27T07:00:00-06:00,pm25,3,µg/m³,44.4572,-95.835,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Minnesota Pollution Control Agency""}]"
