location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
White Springs,HAMILTON,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,10.2,µg/m³,30.4264,-82.7947,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Florida Dept. of Environmental Protection""}]"
Kamiah-ID,IDAHO,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,4,µg/m³,46.2094,-116.027496,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Tribal Environmental Exchange Network""}]"
Lapwai-ID,Lewiston,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,-0.5,µg/m³,46.397202,-116.806198,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Tribal Environmental Exchange Network""}]"
ADEQ-DSR,Little Rock-North Little Rock,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,2.9,µg/m³,34.6811,-92.3283,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Arkansas Department of Environmental Quality""}]"
Chalmette Vista,New Orleans-Metairie-Kenner,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,4.1,µg/m³,29.9431,-89.9761,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Louisiana Department of Environmental Quality""}]"
NKU,Cincinnati-Middletown,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,7.1,µg/m³,39.0217,-84.4744,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Kentucky DEP""}]"
Santa Fe Airport,Santa Fe,US,2017-02-25T20:00:00.000Z,2017-02-25T13:00:00-07:00,pm25,-0.5,µg/m³,35.6198,-106.0797,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Mexico Air Quality Bureau""}]"
Taholah-Quinault Tri,Aberdeen,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,2.9,µg/m³,47.339802,-124.291801,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Indpls-W.18th St,Indianapolis,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,4.6,µg/m³,39.7889,-86.2147,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Indiana Dept. of Environmental Management 2""}]"
Mt Vernon-2nd Ave,Mount Vernon-Anacortes,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,2.1,µg/m³,48.410198,-122.337601,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Plummer CDA Tribe,BENEWAH,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,2.3,µg/m³,47.3386,-116.885902,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
"Iowa City, Hoover Sc",Iowa City,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,6.6,µg/m³,41.658195,-91.503471,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Iowa DNR""}]"
